"","X.5","X.4","X.3","X.2","X.1","immigrant_code","group","degree","strength","strength_assoc","eigenvector_centrality","total_scans","total_dyads","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male","degree_normalized"
"1",1,1,1,1,1,"afr","AK",21,34,0.580219401433328,0.830480456915352,31,315,1,"Asis","BD","2010-10-19","AK","2015-06-29","2016-02-16",232,"2013-10-19",TRUE,1097,"asis",TRUE,1097,NA,"2016-06-28",FALSE,TRUE,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,"2016-06-28",146,255,13,122,0.477272727272727
"2",2,2,2,2,2,"mvu","BD",15,26,0.46264631729466,0.665445272310786,23,453,2,"Mamoobi","AK","2010-11-02","BD","2015-06-13","2016-12-17",553,"2013-11-02",TRUE,1097,"mamo",TRUE,1097,NA,"2016-06-12",TRUE,TRUE,4,0.462,0,"2016-03-30","2016-03-30",9,4,0.523,0.539,"2016-12-14","2016-11-10",31,17,"2016-06-12",74,74,3,37,0.25
"3",3,3,3,3,3,"dub","NH",NA,NA,NA,NA,NA,40,3,NA,NA,NA,"NH","2010-11-08","2012-10-27",719,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,TRUE,2,1,1,"2011-09-03","2010-12-17",39,2,0.807,1,"2012-10-09","2012-10-09",70,26,"2011-11-08",66,326,18,18,NA
"4",4,4,4,4,4,"mil","NH",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"NH","2010-11-08","2011-03-30",142,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-11-08",NA,NA,NA,NA,NA
"5",5,5,5,5,5,"nap","NH",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"NH","2010-11-08","2011-01-24",77,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",FALSE,TRUE,2,0.257,0,"2010-12-17","2010-12-17",3,2,0.257,0,"2010-12-17","2010-12-17",3,2,"2011-11-08",326,326,38,38,NA
"6",6,6,6,6,6,"ado","BD",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"BD","2010-11-09","2011-02-08",91,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,TRUE,1,0.75,1,"2010-12-23","2010-12-23",2,1,0.75,NA,"2010-12-23",NA,2,1,"2011-11-09",321,321,47,NA,NA
"7",7,7,7,7,7,"bab","NH",16,19,0.563989323514314,0.352048003706906,18,403,7,NA,"BD","2009-01-01","NH","2014-05-19","2016-04-19",701,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,2,0.384,0,"2014-10-31","2014-10-31",3,2,0.414,0.18,"2016-04-08","2016-04-08",5,4,"2015-05-19",200,200,11,11,0.30188679245283
"8",8,8,8,8,8,"bok","BD",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,"BD","2010-11-09","2010-12-24",45,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,FALSE,0,0.607,NA,"2010-12-24",NA,1,0,0.607,NA,"2010-12-24",NA,1,0,"2011-11-09",320,NA,0,NA,NA
"9",9,9,9,9,9,"lek","BD",NA,NA,NA,NA,NA,58,9,NA,NA,NA,"BD","2010-11-09","2012-04-23",531,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",TRUE,TRUE,10,0.371,0.06,"2011-08-16","2011-08-16",18,10,0.329,0.144,"2012-03-22","2012-03-14",21,11,"2011-11-09",85,85,32,40,NA
"10",10,10,10,10,10,"lsko","NH",16,25,0.397795760997481,0.269317746340865,15,889,10,NA,"BD","2009-01-01","NH","2014-05-19","2015-06-16",393,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,3,0.363,0,"2015-04-23","2015-04-23",10,3,0.363,0,"2015-04-23","2015-04-23",10,3,"2015-05-19",26,26,54,54,0.283185840707965
"11",11,11,11,11,11,"pik_2010","BD",NA,NA,NA,NA,NA,61,11,NA,NA,NA,"BD","2010-11-09","2012-09-21",682,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",TRUE,TRUE,21,0.853,1,"2011-08-31","2011-08-31",48,21,0.543,0.399,"2012-08-30","2012-08-30",72,41,"2011-11-09",70,70,22,22,NA
"12",12,12,12,12,12,"sko","BD",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"BD","2010-11-09","2010-12-07",28,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-11-09",NA,NA,NA,NA,NA
"13",13,13,13,13,13,"kie","AK",3,4,0.408333333333333,0.572032444405298,4,53,13,"Kaiki","BD","2010-11-23","AK","2015-07-20","2015-12-24",157,"2013-11-23",TRUE,1097,"kaik",TRUE,1097,0.105,"2016-07-19",FALSE,FALSE,0,0.321,NA,"2015-08-21",NA,1,0,0.321,NA,"2015-08-21",NA,1,0,"2016-07-19",333,NA,125,NA,0.0652173913043478
"14",14,14,14,14,14,"dwe","AK",NA,NA,NA,NA,NA,11,14,"Dagga","BD","2010-01-01","AK","2016-01-26","2016-03-23",57,"2013-01-01",FALSE,636,"dagg",TRUE,636,NA,"2017-01-25",FALSE,FALSE,0,0.281,NA,"2016-01-29",NA,2,0,0.281,NA,"2016-01-29",NA,2,0,"2017-01-25",362,NA,54,NA,NA
"15",15,15,15,15,15,"wol","AK",27,52,0.555522281116916,0.60895050991625,52,404,15,"Wietnie","BD","2010-01-01","AK","2015-07-20","2018-05-24",1039,"2013-01-01",TRUE,1097,"wiet",TRUE,1097,NA,"2016-07-19",TRUE,TRUE,3,0.765,0.743,"2016-07-02","2016-07-02",6,3,0.49,0,"2018-05-03","2018-05-03",37,21,"2016-07-19",17,17,21,21,0.692307692307692
"16",16,16,16,16,16,"gig","BD",NA,NA,NA,NA,NA,NA,16,NA,NA,NA,"BD","2010-12-07","2010-12-07",0,NA,NA,NA,NA,FALSE,0,NA,"2011-12-07",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-12-07",NA,NA,NA,NA,NA
"17",17,17,17,17,17,"mfo","LT",NA,NA,NA,NA,NA,NA,17,"Mamoobi","AK","2007-01-01","LT","2012-05-16","2014-10-21",888,"2010-01-01",TRUE,1097,"mamo",TRUE,1097,NA,"2013-05-16",TRUE,FALSE,0,0.515,NA,"2013-02-14",NA,2,0,0.234,0.028,"2014-05-31","2014-05-31",6,1,"2013-05-16",91,NA,143,143,NA
"18",18,18,18,18,18,"qui","LT",NA,NA,NA,NA,NA,NA,18,NA,"NH",NA,"LT","2011-11-19","2015-11-12",1454,NA,NA,NA,NA,FALSE,0,NA,"2012-11-18",FALSE,FALSE,0,NA,NA,NA,NA,0,0,0.49,0.907,"2015-11-05","2015-11-05",2,2,"2012-11-18",NA,NA,7,7,NA
"19",19,19,19,19,19,"oom","BD",NA,NA,NA,NA,NA,170,19,NA,NA,NA,"BD","2010-12-24","2012-11-19",696,NA,NA,NA,NA,FALSE,0,NA,"2011-12-24",TRUE,TRUE,27,0.408,0,"2011-12-16","2011-12-06",53,27,0.405,0.283,"2012-09-17","2012-09-17",84,48,"2011-12-24",8,18,63,63,NA
"20",20,20,20,20,20,"bry","LT",NA,NA,NA,NA,NA,NA,20,NA,NA,NA,"LT","2011-01-16","2012-05-01",471,NA,NA,NA,NA,FALSE,0,NA,"2012-01-16",TRUE,TRUE,11,1,1,"2011-09-30","2011-09-30",13,11,1,1,"2011-09-30","2011-09-30",13,11,"2012-01-16",108,108,214,214,NA
"21",21,21,21,21,21,"oku","BD",5,5,0.547527331425636,0.0160496676020379,5,811,21,NA,"AK","2007-01-01","BD","2013-02-19","2014-09-08",566,"2010-01-01",NA,NA,NA,FALSE,0,NA,"2014-02-19",TRUE,TRUE,11,0.349,0,"2014-02-03","2013-11-13",17,11,0.448,0.401,"2014-08-23","2014-08-23",23,17,"2014-02-19",16,98,16,16,0.0961538461538462
"22",22,22,22,22,22,"wil","LT",NA,NA,NA,NA,NA,NA,22,NA,NA,NA,"LT","2011-01-19","2012-02-14",391,NA,NA,NA,NA,FALSE,0,NA,"2012-01-19",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.694,0.709,"2012-01-28","2012-01-28",1,1,"2012-01-19",NA,NA,17,17,NA
"23",23,23,23,23,23,"jam","LT",NA,NA,NA,NA,NA,NA,23,NA,NA,NA,"LT","2011-01-28","2012-06-08",497,NA,NA,NA,NA,FALSE,0,NA,"2012-01-28",TRUE,TRUE,11,0.622,0.623,"2012-01-03","2012-01-03",11,11,0.622,0.623,"2012-01-03","2012-01-03",11,11,"2012-01-28",25,25,157,157,NA
"24",24,24,24,24,24,"don","LT",NA,NA,NA,NA,NA,82,24,"Dagga","BD","2009-01-01","LT","2015-04-03","2018-11-16",1323,"2012-01-01",FALSE,270,"dagg",TRUE,270,NA,"2016-04-02",TRUE,TRUE,3,0.457,0.2,"2015-06-26","2015-06-26",3,3,0.884,1,"2018-11-10","2018-04-05",27,14,"2016-04-02",281,281,6,225,NA
"25",25,25,25,25,25,"ert","NH",NA,NA,NA,NA,NA,NA,25,NA,"BD",NA,"NH","2012-04-26","2015-12-11",1324,NA,NA,NA,NA,FALSE,0,NA,"2013-04-26",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.59,0.767,"2015-11-26","2015-11-26",5,4,"2013-04-26",NA,NA,15,15,NA
"26",26,26,26,26,26,"gro","NH",NA,NA,NA,NA,NA,NA,26,NA,"BD",NA,"NH","2012-05-01","2013-01-25",269,NA,NA,NA,NA,FALSE,0,NA,"2013-05-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2013-05-01",NA,NA,NA,NA,NA
"27",27,27,27,27,27,"ham","AK",29,86,0.459927249517749,0.331990743781282,61,516,27,NA,"LT","2007-01-01","AK","2013-05-24","2014-05-26",367,"2010-01-01",NA,NA,NA,FALSE,0,NA,"2014-05-24",TRUE,TRUE,8,0.39,0.216,"2014-05-23","2014-05-23",12,8,0.39,0.216,"2014-05-23","2014-05-23",12,8,"2014-05-24",1,1,3,3,0.783783783783784
"28",28,28,28,28,28,"rus","BD",NA,NA,NA,NA,NA,579,28,NA,NA,NA,"BD","2011-05-08","2013-12-16",953,NA,NA,NA,NA,FALSE,0,NA,"2012-05-07",TRUE,TRUE,36,0.539,0.586,"2012-04-24","2012-04-24",62,36,0.941,1,"2013-12-16","2013-12-16",109,67,"2012-05-07",13,13,0,0,NA
"29",29,29,29,29,29,"elt","AK",2,2,0.0693581780538302,0.0675548723588492,1,204,29,NA,"LT","2006-01-01","AK","2012-01-28","2016-01-18",1451,"2009-01-01",NA,NA,NA,FALSE,0,NA,"2013-01-27",TRUE,TRUE,9,0.106,0,"2012-11-26","2012-11-26",9,9,0.797,1,"2015-12-24","2015-10-17",65,40,"2013-01-27",62,62,25,93,0.0588235294117647
"30",30,30,30,30,30,"har","LT",NA,NA,NA,NA,NA,11,30,NA,NA,NA,"LT","2011-06-09","2012-08-28",446,NA,NA,NA,NA,FALSE,0,NA,"2012-06-08",TRUE,TRUE,1,0.816,0.819,"2012-06-08","2012-06-08",1,1,0.816,0.819,"2012-06-08","2012-06-08",1,1,"2012-06-08",0,0,81,81,NA
"31",31,31,31,31,31,"new","LT",NA,NA,NA,NA,NA,11,31,NA,NA,NA,"LT","2011-07-09","2014-01-25",931,NA,NA,NA,NA,FALSE,0,NA,"2012-07-08",TRUE,TRUE,13,0,0,"2012-06-12","2012-06-12",15,13,0,0,"2013-10-28","2013-10-28",17,14,"2012-07-08",26,26,89,89,NA
"32",32,32,32,32,32,"the","LT",NA,NA,NA,NA,NA,11,32,NA,NA,NA,"LT","2011-08-09","2012-02-09",184,NA,NA,NA,NA,FALSE,0,NA,"2012-08-08",TRUE,TRUE,8,1,1,"2012-06-04","2012-06-04",8,8,0.659,0.66,"2012-01-28","2012-01-28",7,7,"2012-08-08",65,65,12,12,NA
"33",33,33,33,33,33,"hwa","BD",15,17,0.590956261969193,0.478031574915513,17,349,33,"Hamba","AK","2011-09-16","BD","2016-06-07","2017-12-11",552,"2014-09-16",TRUE,1097,"hamb",TRUE,1097,0.558,"2017-06-07",TRUE,TRUE,25,0.485,0.058,"2017-05-29","2017-05-27",49,25,0.629,0.648,"2017-12-08","2017-12-08",108,71,"2017-06-07",9,11,3,3,0.3
"34",34,34,34,34,34,"vin","BD",16,19,0.563148480928424,0.00833663788758236,19,352,34,"Victoria","LT","2011-10-01","BD","2017-02-13","2018-11-19",644,"2014-10-01",TRUE,1097,"vict",TRUE,1097,0.237,"2018-02-13",TRUE,TRUE,17,0.551,0.339,"2018-02-02","2017-12-18",30,17,0.525,0.3,"2018-11-17","2018-11-17",70,52,"2018-02-13",11,57,2,2,0.296296296296296
"35",35,35,35,35,35,"spo","CR",NA,NA,NA,NA,NA,NA,35,"Snortjie","BD","2011-10-01","CR","2016-06-23","2018-04-07",653,"2014-10-01",TRUE,1097,"snor",TRUE,1097,0.332,"2017-06-23",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2017-09-16","2017-09-16",1,1,"2017-06-23",NA,NA,203,203,NA
"36",36,36,36,36,36,"nok","CR",NA,NA,NA,NA,NA,NA,36,"Numbies","BD","2011-10-26","CR","2016-06-15","2017-01-04",203,"2014-10-26",TRUE,1097,"numb",TRUE,1097,0.272,"2017-06-15",FALSE,TRUE,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,"2017-06-15",NA,NA,NA,NA,NA
"37",37,37,37,37,37,"lom","5males",NA,NA,NA,NA,NA,NA,37,"Lausanne","NH","2011-10-27","5males","2016-07-14","2016-07-14",0,"2014-10-27",FALSE,818,"laus",FALSE,818,0.341,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA,NA
"38",38,38,38,38,38,"ogi","CR",NA,NA,NA,NA,NA,NA,38,"Oulik","BD","2011-11-02","CR","2016-06-10","2018-07-20",770,"2014-11-02",TRUE,1097,"ouli",TRUE,1097,0.977,"2017-06-10",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0,0,"2017-12-05","2017-12-05",6,6,"2017-06-10",NA,NA,227,227,NA
"39",39,39,39,39,39,"art","LT",NA,NA,NA,NA,NA,NA,39,NA,NA,NA,"LT","2011-11-03","2012-02-14",103,NA,NA,NA,NA,FALSE,0,NA,"2012-11-02",TRUE,TRUE,1,0.472,0.463,"2012-01-03","2012-01-03",1,1,0.472,0.463,"2012-01-03","2012-01-03",1,1,"2012-11-02",304,304,42,42,NA
"40",40,40,40,40,40,"nil","KB",NA,NA,NA,NA,NA,NA,40,NA,NA,NA,"KB","2011-11-05","2014-11-17",1108,NA,NA,NA,NA,FALSE,0,NA,"2012-11-04",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2014-10-28","2014-09-25",9,4,"2012-11-04",NA,NA,20,53,NA
"41",41,41,41,41,41,"akk","CR",NA,NA,NA,NA,NA,NA,41,"Asis","BD","2011-11-07","CR","2016-06-10","2018-07-20",770,"2014-11-07",TRUE,1097,"asis",TRUE,1097,0.637,"2017-06-10",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.293,0.341,"2017-11-08","2017-11-08",3,3,"2017-06-10",NA,NA,254,254,NA
"42",42,42,42,42,42,"poe","CR",NA,NA,NA,NA,NA,NA,42,"Prinses","BD","2011-11-11","CR","2016-06-15","2018-07-20",765,"2014-11-11",TRUE,1097,"prin",TRUE,1097,0.736,"2017-06-15",TRUE,TRUE,1,NA,NA,NA,NA,1,1,1,1,"2017-12-05","2017-12-05",8,8,"2017-06-15",NA,NA,227,227,NA
"43",43,43,43,43,43,"jun","IF",NA,NA,NA,NA,NA,NA,43,"Jakarta","NH","2011-11-20","IF","2016-04-14","2016-10-25",194,"2014-11-20",TRUE,1097,"jaka",TRUE,1097,0.293,"2017-04-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-04-14",NA,NA,NA,NA,NA
"44",44,44,44,44,44,"ubu","BD",17,19,0.818241090827598,0.613928500303487,14,372,44,"Ulaka","AK","2011-11-21","BD","2016-05-28","2020-06-06",1470,"2014-11-21",FALSE,664,"ulak",FALSE,664,0.733,"2017-05-28",TRUE,TRUE,11,0.311,0.624,"2017-05-22","2017-04-28",17,11,0.77,0.801,"2020-05-09","2020-05-09",140,90,"2017-05-28",6,30,28,28,0.34
"45",45,45,45,45,45,"ulu","5males",NA,NA,NA,NA,NA,NA,45,"Uppsala","NH","2011-12-01","5males","2016-07-14","2016-07-14",0,"2014-12-01",TRUE,1097,"upps",TRUE,1097,0.508,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA,NA
"46",46,46,46,46,46,"roo","CR",NA,NA,NA,NA,NA,NA,46,"Rissiepit","BD","2011-12-05","CR","2017-05-10","2018-07-20",436,"2014-12-05",TRUE,1097,"riss",TRUE,1097,0.135,"2018-05-10",TRUE,TRUE,1,0.638,0.705,"2017-11-13","2017-11-13",1,1,0.638,0.705,"2017-11-13","2017-11-13",1,1,"2018-05-10",178,178,249,249,NA
"47",47,47,47,47,47,"neu","BD",25,38,0.54269931345969,0.382850553466937,31,742,47,NA,"NH","2009-01-01","BD","2014-05-14","2020-12-14",2406,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-14",TRUE,TRUE,10,0.509,0.708,"2014-12-08","2014-12-08",16,10,1,0.934,"2020-11-16","2020-11-16",290,188,"2015-05-14",157,157,28,28,0.431034482758621
"48",48,48,48,48,48,"tor","BD",29,42,0.591924888713743,0.416435354245726,31,816,48,"Troia","NH","2009-01-01","BD","2014-06-16","2016-02-13",607,"2012-01-01",FALSE,420,"troi",TRUE,420,NA,"2015-06-16",TRUE,TRUE,2,0.325,0.271,"2015-02-19","2014-12-08",6,2,0.502,0.321,"2015-12-11","2015-12-11",12,6,"2015-06-16",117,190,64,64,0.5
"49",49,49,49,49,49,"zur","BD",7,7,0.169974681388756,0.126876968530905,5,671,49,"Zara","NH","2009-01-01","BD","2014-06-03","2016-02-15",622,"2012-01-01",FALSE,420,"zara",TRUE,420,NA,"2015-06-03",TRUE,TRUE,5,0.315,0,"2014-12-01","2014-12-01",9,5,0.488,0,"2015-12-08","2015-11-12",24,10,"2015-06-03",184,184,69,95,0.120689655172414
"50",50,50,50,50,50,"pue","5males",NA,NA,NA,NA,NA,NA,50,"Paris","NH","2011-12-27","5males","2016-07-14","2016-07-14",0,"2014-12-27",TRUE,1097,"pari",TRUE,1097,0.711,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA,NA
"51",51,51,51,51,51,"bon","AK",5,6,0.360539742212675,0.196546395691596,4,210,51,NA,NA,NA,"AK","2012-01-28","2013-04-25",453,NA,NA,NA,NA,FALSE,0,NA,"2013-01-27",TRUE,TRUE,11,0.341,0.484,"2013-01-07","2013-01-07",13,11,0.361,0.258,"2013-04-22","2013-04-22",17,13,"2013-01-27",20,20,3,3,0.147058823529412
"52",52,52,52,52,52,"gov","Intaka",NA,NA,NA,NA,NA,NA,52,"Gagasa","AK","2008-01-01","Intaka","2014-01-31","2014-06-13",133,"2011-01-01",TRUE,1097,"gaga",TRUE,1097,NA,"2015-01-31",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-01-31",NA,NA,NA,NA,NA
"53",53,53,53,53,53,"mna","LT",14,23,0.596820532804628,0.763244943242714,21,253,53,"Mamoobi","AK","2009-01-01","LT","2015-01-19","2018-06-07",1235,"2012-01-01",TRUE,1096,"mamo",TRUE,1096,NA,"2016-01-19",TRUE,TRUE,4,0.705,1,"2015-11-14","2015-11-14",4,4,0.502,0,"2018-04-05","2018-04-05",26,17,"2016-01-19",66,66,63,63,0.325581395348837
"54",54,54,54,54,54,"vol","LT",NA,NA,NA,NA,NA,1,54,NA,NA,NA,"LT","2012-02-03","2014-06-03",851,NA,NA,NA,NA,FALSE,0,NA,"2013-02-02",TRUE,TRUE,1,0.457,0.428,"2012-06-12","2012-06-12",1,1,0.424,0.562,"2013-10-28","2013-10-28",2,2,"2013-02-02",235,235,218,218,NA
"55",55,55,55,55,55,"ahe","AK",13,21,0.56745634881127,0.677998987335871,18,119,55,NA,NA,NA,"AK","2010-12-18","2012-02-24",433,NA,NA,NA,NA,FALSE,0,NA,"2011-12-18",TRUE,TRUE,5,0.981,1,"2011-12-15","2011-12-15",24,5,0.981,1,"2011-12-15","2011-12-15",24,5,"2011-12-18",3,3,71,71,0.52
"56",56,56,56,56,56,"auc","NH",NA,NA,NA,NA,NA,11,56,NA,NA,NA,"NH","2012-02-27","2014-09-25",941,NA,NA,NA,NA,FALSE,0,NA,"2013-02-26",TRUE,TRUE,2,0.336,0,"2012-05-29","2012-05-29",2,2,0.599,1,"2014-07-18","2014-06-21",11,9,"2013-02-26",273,273,69,96,NA
"57",57,57,57,57,57,"sty","NH",NA,NA,NA,NA,NA,NA,57,NA,"KB","2009-01-01","NH","2014-05-24","2016-03-29",675,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-24",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.528,0.56,"2015-12-31","2015-12-31",5,5,"2015-05-24",NA,NA,89,89,NA
"58",58,58,58,58,58,"twe","NH",NA,NA,NA,NA,NA,NA,58,NA,"KB","2010-12-01","NH","2014-05-24","2019-09-06",1931,"2013-12-01",NA,NA,NA,FALSE,0,NA,"2015-05-24",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.846,1,"2019-09-04","2019-08-30",148,50,"2015-05-24",NA,NA,2,7,NA
"59",59,59,59,59,59,"che","NH",5,9,0.833044733044733,0.0904539726563901,6,187,59,NA,NA,NA,"NH","2012-04-28","2014-05-26",758,NA,NA,NA,NA,FALSE,0,NA,"2013-04-28",TRUE,TRUE,27,0.582,0,"2013-04-22","2013-04-22",38,27,0.741,0.427,"2014-05-24","2014-05-24",51,33,"2013-04-28",6,6,2,2,0.119047619047619
